date;open;close;adjClose;high;low;volume
28.01.2013;52500;11.150001;55750;56950;52450;2800
29.01.2013;57250;10.45;52250;58100;51500;3600
30.01.2013;54800;11.79;58950;59000;53450;3600
31.01.2013;59650;11.85;59250;60400;56600;2400
01.02.2013;54600;10.64;53200;54650;51750;3100
04.02.2013;56400;12.1;60500;60600;55200;3300
05.02.2013;58100;11.14;55700;58450;53500;2800
06.02.2013;57950;11.02;55100;58300;55050;2600
07.02.2013;53600;10.920001;54600;59050;53400;4000
08.02.2013;53900;10.530001;52650;54050;52050;2700
11.02.2013;52150;10.120001;50600;53100;50300;2300
12.02.2013;50600;9.920001;49600;51300;48850;2600
13.02.2013;49450;10.070001;50350;51900;48400;3100
14.02.2013;50850;9.740001;48700;51450;48200;2700
15.02.2013;47750;9.6;48000;50150;47350;3500
19.02.2013;47250;8.76;43800;47300;43550;3800
20.02.2013;44150;10.31;51550;51750;44000;4700
21.02.2013;51200;10.63;53150;56950;51200;7000
22.02.2013;50750;9.91;49550;52750;49500;3300
25.02.2013;46250;12.650001;63250;64300;45000;8500
26.02.2013;61550;11.990001;59950;69200;57750;10600
27.02.2013;60750;10.31;51550;62000;49550;6400
28.02.2013;51350;10.93;54650;54750;49650;5300
01.03.2013;59650;11.26;56300;62450;54450;8800
04.03.2013;57950;10.06;50300;58500;50200;5200
05.03.2013;47100;9.400001;47000;48100;46500;4200
06.03.2013;45850;9.47;47350;49200;45750;4800
07.03.2013;47050;9.1;45500;47900;45500;3900
08.03.2013;43950;8.86;44300;46900;43750;5400
11.03.2013;44200;8.13;40650;44600;40500;5400
12.03.2013;40700;8.36;41800;44300;40200;6600
13.03.2013;41500;8.26;41300;43250;40750;4800
14.03.2013;40300;7.970001;39850;41250;39500;4100
15.03.2013;40200;7.93;39650;41500;39300;4500
18.03.2013;44800;8.780001;43900;45000;40400;7400
19.03.2013;41950;8.780001;43900;48500;41550;11600
20.03.2013;40850;7.86;39300;41700;39000;7100
21.03.2013;41300;8.29;41450;42500;39350;7100
22.03.2013;40000;8.240001;41200;42500;39700;5600
25.03.2013;39050;8.02;40100;42500;38000;9600
26.03.2013;38800;7.58;37900;39750;37600;6300
27.03.2013;39850;7.74;38700;40450;38150;5800
28.03.2013;38450;7.69;38450;39150;38150;4000
01.04.2013;38100;7.73;38650;39500;37800;4200
02.04.2013;37550;7.25;36250;37800;36250;5000
03.04.2013;36200;7.75;38750;39550;35750;6800
04.04.2013;38650;7.52;37600;40700;37500;6700
05.04.2013;41750;7.570001;37850;42150;37750;6800
08.04.2013;37150;7.16;35800;38250;35650;4800
09.04.2013;35100;6.95;34750;36250;34050;5200
10.04.2013;34000;6.570001;32850;34250;32750;4900
11.04.2013;32650;6.52;32600;33150;31500;4200
12.04.2013;33450;6.28;31400;34050;31300;4700
15.04.2013;31850;7.75;38750;41050;30900;13100
16.04.2013;34700;6.39;31950;36100;31750;7800
17.04.2013;34450;7.880001;39400;41700;34400;13100
18.04.2013;39200;8.56;42800;44750;39000;10400
19.04.2013;41600;7.33;36650;42150;36000;6600
22.04.2013;37100;7.03;35150;38850;34500;5300
23.04.2013;32900;6.29;31450;38150;31250;7100
24.04.2013;31650;6.38;31900;32300;30800;3900
25.04.2013;31100;6.46;32300;32850;30850;4600
26.04.2013;33150;6.48;32400;33950;32150;4900
29.04.2013;31450;6.41;32050;32500;31000;3900
30.04.2013;32050;6.3;31500;33100;31250;4400
01.05.2013;32000;6.820001;34100;34150;31800;6400
02.05.2013;32900;6.36;31800;33200;31500;5500
03.05.2013;30350;6.08;30400;30950;30100;4700
06.05.2013;30350;5.87;29350;30500;29050;3900
07.05.2013;28550;5.76;28800;29700;28300;3200
08.05.2013;29350;5.83;29150;30350;28850;3400
09.05.2013;29700;6.05;30250;31450;29500;6400
10.05.2013;30700;5.94;29700;31350;29650;4600
13.05.2013;29800;5.86;29300;30350;29200;3400
