UVXY
date;open;high;low;close;volume;adjClose
28.09.2012;152700;157400;145500;30,920002;1100;154600
01.10.2012;147150;159800;139250;31,550001;1300;157750
02.10.2012;153500;162400;150400;30,220001;1100;151100
03.10.2012;151900;158950;146500;30,01;1200;150050
04.10.2012;147750;149850;143000;28,639999;1000;143200
05.10.2012;134300;142650;131000;27,780003;1500;138900
08.10.2012;143050;145200;139500;28,460001;700;142300
09.10.2012;142750;155800;141300;30,820002;1500;154100
10.10.2012;151250;158000;148900;30,15;1300;150750
11.10.2012;146350;148950;142650;29,380003;1200;146900
12.10.2012;142150;151250;139300;29,789999;1400;148950
15.10.2012;146800;153050;138000;27,789999;1200;138950
16.10.2012;134000;136350;131100;26,49;1300;132450
17.10.2012;132400;135000;127500;25,800001;1100;129000
18.10.2012;130550;132200;125200;25,630003;1700;128150
19.10.2012;130600;147550;130300;28,960001;2000;144800
22.10.2012;143900;152650;140800;28,24;1600;141200
23.10.2012;156800;167100;155000;32,650002;1700;163250
24.10.2012;157900;167100;156850;32,950001;1400;164750
25.10.2012;153300;163950;151650;31,1;1600;155500
26.10.2012;155700;163350;150250;30,930002;1300;154650
31.10.2012;148700;164100;148100;32,070004;900;160350
01.11.2012;157500;158250;134500;26,9;1500;134500
02.11.2012;130600;142200;129700;28,180002;1800;140900
05.11.2012;144550;153400;142800;29,170002;1300;145850
06.11.2012;143500;146550;132000;27;1500;135000
07.11.2012;142000;160500;140050;31,34;2400;156700
08.11.2012;156000;160500;148500;31,720001;1700;158600
09.11.2012;161800;162450;148600;31,700001;1400;158500
12.11.2012;154350;154650;137050;27,6;1600;138000
13.11.2012;144250;146000;131250;27,660002;1900;138300
14.11.2012;130700;151900;129700;29,410002;2200;147050
15.11.2012;147100;159650;141850;30,050001;2100;150250
16.11.2012;146750;157400;136100;27,370001;2100;136850
19.11.2012;126700;127250;112950;22,640001;2000;113200
20.11.2012;110150;113900;108300;21,75;1600;108750
21.11.2012;108050;112250;104600;22,050001;1000;110250
23.11.2012;105200;107050;100900;20,200001;700;101000
26.11.2012;104550;105850;98850;19,780001;1400;98900
27.11.2012;97800;103650;96100;20,560001;2000;102800
28.11.2012;106750;111000;96650;19,469999;2500;97350
29.11.2012;94350;99000;93500;18,910002;1900;94550
30.11.2012;92950;99950;92900;19,57;1400;97850
03.12.2012;93050;102500;92800;20,360001;1700;101800
04.12.2012;103300;108400;100350;21,07;1800;105350
05.12.2012;105350;110300;100700;20,410002;1600;102050
06.12.2012;101650;105800;100950;20,800001;1300;104000
07.12.2012;100650;105500;96400;19,380001;1300;96900
10.12.2012;98550;101100;97300;19,880001;800;99400
11.12.2012;96750;98200;92700;18,540001;1700;92700
12.12.2012;92000;97750;91000;19,460001;1700;97300
13.12.2012;96900;104000;95850;20,17;1600;100850
14.12.2012;101850;104900;100700;20,460001;1300;102300
17.12.2012;103000;103250;95000;19,050001;1300;95250
18.12.2012;92150;93100;86700;17,6;1800;88000
19.12.2012;87850;98400;87800;19,630001;2200;98150
20.12.2012;97550;104100;96200;20,57;1600;102850
21.12.2012;119850;120550;112950;23,280001;2600;116400
24.12.2012;113150;115900;112050;22,550001;700;112750
26.12.2012;116750;125750;116050;25,07;1300;125350
27.12.2012;124750;141400;122100;25,030001;3000;125150
28.12.2012;133250;139500;126650;27,539999;2300;137700
31.12.2012;143100;146000;101250;20,9;2700;104500
02.01.2013;83600;89200;80100;16,07;2500;80350
03.01.2013;80500;82250;77050;15,93;2600;79650
04.01.2013;79600;80350;75850;15,3;2300;76500
07.01.2013;78500;79750;75750;15,27;2100;76350
08.01.2013;75550;78200;74200;14,960001;2300;74800
09.01.2013;72350;76300;72000;14,98;1700;74900
10.01.2013;72200;74400;71100;14,27;2000;71350
11.01.2013;71500;73250;70650;14,160001;1600;70800
14.01.2013;70450;71600;67850;13,73;2100;68650
15.01.2013;70200;70650;67200;13,67;1800;68350
16.01.2013;67350;68050;64200;13,12;2100;65600
17.01.2013;63750;66300;63300;13,25;1800;66250
18.01.2013;65000;65800;57200;11,56;3300;57800
22.01.2013;57900;60000;53850;10,870001;2000;54350
23.01.2013;54300;54700;50900;10,29;2500;51450
24.01.2013;52100;57950;50500;10,38;4000;51900
25.01.2013;52300;54800;51000;10,56;3100;52800
28.01.2013;52500;56950;52450;11,150001;2800;55750
29.01.2013;57250;58100;51500;10,45;3600;52250
30.01.2013;54800;59000;53450;11,79;3600;58950
31.01.2013;59650;60400;56600;11,85;2400;59250
01.02.2013;54600;54650;51750;10,64;3100;53200
04.02.2013;56400;60600;55200;12,1;3300;60500
05.02.2013;58100;58450;53500;11,14;2800;55700
06.02.2013;57950;58300;55050;11,02;2600;55100
07.02.2013;53600;59050;53400;10,920001;4000;54600
08.02.2013;53900;54050;52050;10,530001;2700;52650
11.02.2013;52150;53100;50300;10,120001;2300;50600
12.02.2013;50600;51300;48850;9,920001;2600;49600
